Games,Sport,Event,TEST,Gender,Athlete(s),CountryCode,CountryName,Medal,Result,Unit,ResultInSeconds,POPULATION,GDP,,,
1996,Athletics,100m Men,,MEN,Frankie Fredericks,NAM,Namibia,Silver,9.89,#:DD,9.89,1731.21,6005,,,
1996,Athletics,100m Men,,MEN,Ato Boldon,TRI,Trinidad and Tobago,Bronze,9.9,#:DD,9.9,1148.699,12651,,,
1992,Athletics,10000m Women,WOMEN,WOMEN,Derartu Tulu,ETH,Ethiopia,Gold,31:06.02,M:SS:DD,1866.02,10348.684,57210.8809,,,
1988,Athletics,10000m Women,WOMEN,WOMEN,Olga Bondarenko,URS,Russia,Gold,31:05.21,M:SS:DD,1865.21,57159.603,920841,,,
2012,Swimming,100m Backstroke Women,WOMEN,WOMEN,Missy FRANKLIN,USA,United States of America,Gold,58.33,#:DD,58.33,82369.548,1673488.575,,,
1996,Athletics,110m Hurdles Men,,MEN,Allen Johnson,USA,United States of America,Gold,12.95,#:DD,12.95,269667.391,6803768.743,,,
1996,Athletics,110m Hurdles Men,,MEN,Mark Crear,USA,United States of America,Silver,13.09,#:DD,13.09,269667.391,6803768.743,,,
1996,Athletics,110m Hurdles Men,,MEN,Florian Schwarthoff,GER,Germany,Bronze,13.17,#:DD,13.17,81890.667,1426553.501,,,
1996,Athletics,1500m Men,,MEN,Noureddine Morceli,ALG,Algeria,Gold,3:35.78,M:SS:DD,215.78,28595.073,77500,,,
1996,Athletics,1500m Men,,MEN,Fermin Cacho,ESP,Spain,Silver,3:36.40,M:SS:DD,216.4,39803.829,523519.6721,,,
1996,Athletics,1500m Men,,MEN,Stephen Kipkorir,KEN,Kenya,Bronze,3:36.72,M:SS:DD,216.72,27670.93,29441,,,
2008,Swimming,100m Backstroke Women,WOMEN,WOMEN,Natalie Coughlin,USA,United States of America,Gold,58.96,M:S:DD,58.96,303824.646,8683682.8,,,
2004,Swimming,100m Backstroke Women,WOMEN,WOMEN,Natalie Coughlin,USA,United States of America,Gold,1:00.37,M:S:DD,60.37,82424.609,1577423.484,,,
2000,Swimming,100m Backstroke Women,WOMEN,WOMEN,Diana Mocanu,ROM,Romania,Gold,1:00.21,M:S:DD,60.21,8113.413,167859.6479,,,
1996,Athletics,200m Men,,MEN,Michael Johnson,USA,United States of America,Gold,19.32,#:DD,19.32,269667.391,6803768.743,,,
1996,Athletics,200m Men,,MEN,Frankie Fredericks,NAM,Namibia,Silver,19.68,#:DD,19.68,1731.21,6005,,,
1996,Athletics,200m Men,,MEN,Ato Boldon,TRI,Trinidad and Tobago,Bronze,19.8,#:DD,19.8,1148.699,12651,,,
1996,Swimming,100m Backstroke Women,WOMEN,WOMEN,Beth Botsford,USA,United States of America,Gold,1:01.19,M:S:DD,61.19,269667.391,6803768.743,,,
1992,Swimming,100m Backstroke Women,WOMEN,WOMEN,Krisztina Egerszegi,HUN,Hungary,Gold,1:00.68,M:S:DD,60.68,256894.189,5985151.501,,,
1988,Swimming,100m Backstroke Women,WOMEN,WOMEN,Kristin Otto,GDR,Germany,Gold,1:00.89,M:S:DD,60.89,245021.414,5512845,,,
1996,Athletics,20km Walk Men,,MEN,Jefferson P?rez,ECU,Ecuador,Gold,1:20:07,H:MM:SS,4807,11673.95,48816,,,
1996,Athletics,20km Walk Men,,MEN,Ilya Markov,RUS,Russia,Silver,1:20:16,H:MM:SS,4816,290875.61,1137738.988,,,
1996,Athletics,20km Walk Men,,MEN,Bernardo Sugura,MEX,Mexico,Bronze,1:20:23,H:MM:SS,4823,94398.579,586144,,,
1996,Athletics,3000m Steeplechase Men,,MEN,Joseph Keter,KEN,Kenya,Gold,8:07.12,M:SS:DD,487.12,27670.93,29441,,,
1996,Athletics,3000m Steeplechase Men,,MEN,Moses Kiptanui,KEN,Kenya,Silver,8:08.33,M:SS:DD,488.33,27670.93,29441,,,
1996,Athletics,3000m Steeplechase Men,,MEN,Alessandro Lambruschini,ITA,Italy,Bronze,8:11.28,M:SS:DD,491.28,57367.032,996781.9207,,,
1996,Athletics,400m Hurdles Men,,MEN,Derrick Adkins,USA,United States of America,Gold,47.54,#:DD,47.54,269667.391,6803768.743,,,
1996,Athletics,400m Hurdles Men,,MEN,Samuel Matete,ZAM,Zambia,Silver,47.78,#:DD,47.78,9201.909,6080,,,
1996,Athletics,400m Hurdles Men,,MEN,Calvin Davis,USA,United States of America,Bronze,47.96,#:DD,47.96,269667.391,6803768.743,,,
1984,Swimming,100m Backstroke Women,WOMEN,WOMEN,Theresa Andrews,USA,United States of America,Gold,1:02.55,M:S:DD,62.55,236348.292,4755958,,,
1980,Swimming,100m Backstroke Women,WOMEN,WOMEN,Rica Reinisch,GDR,Germany,Gold,1:00.86,M:S:DD,60.86,265935.636,1709174,,,
1976,Swimming,100m Backstroke Women,WOMEN,WOMEN,Ulrike Richter,GDR,Germany,Gold,1:01.83,M:S:DD,61.83,218035,3701163,,,
1996,Athletics,400m Men,,MEN,Michael Johnson,USA,United States of America,Gold,43.49,#:DD,43.49,269667.391,6803768.743,,,
1996,Athletics,400m Men,,MEN,Roger Black,GBR,Great Britain,Silver,44.41,#:DD,44.41,58618.663,1054948.361,,,
1996,Athletics,400m Men,,MEN,Davis Kamoga,UGA,Uganda,Bronze,44.53,#:DD,44.53,20623.835,14895,,,
1972,Swimming,100m Backstroke Women,WOMEN,WOMEN,Melissa Belote,USA,United States of America,Gold,1:05.78,M:S:DD,65.78,78717.088,903739,,,
1968,Swimming,100m Backstroke Women,WOMEN,WOMEN,Kaye Hall,USA,United States of America,Gold,1:06.2,M:S:DD,66.2,12101.66,134913,,,
1964,Swimming,100m Backstroke Women,WOMEN,WOMEN,Cathy Ferguson,USA,United States of America,Gold,1:07.7,M:S:DD,67.7,12101.66,134913,,,
1996,Athletics,4x100m Relay Men,,MEN,"Glenroy Gilbert, Robert Esmie, Donovan Bailey, Bruny Surin",CAN,Canada,Gold,37.69,#:DD,37.69,29983.162,580059.7477,,,
1996,Athletics,4x100m Relay Men,,MEN,"Jon Drummond, Tim Harden, Mike Marsh, Dennis Mitchell",USA,United States of America,Silver,38.05,#:DD,38.05,269667.391,6803768.743,,,
1996,Athletics,4x100m Relay Men,,MEN,"Andr? Silva, Arnaldo Silva, Edson Ribeiro, Robson da Silva",BRA,Brazil,Bronze,38.41,#:DD,38.41,166073.876,891202,,,
1960,Swimming,100m Backstroke Women,WOMEN,WOMEN,Lynn Burke,USA,United States of America,Gold,1:09.3,M:S:DD,69.3,180671,2046727,,,
1956,Swimming,100m Backstroke Women,WOMEN,WOMEN,Judy Grinham,GBR,Great Britain,Gold,1:12.9,M:S:DD,72.9,70602.518,436086,,,
1952,Swimming,100m Backstroke Women,WOMEN,WOMEN,Joan Harrison,SAF,South Africa,Gold,1:14.3,M:S:DD,74.3,185855.87,545792,,,
1996,Athletics,4x400m Relay Men,,MEN,"Alvin Harrison, Derek Mills, Lamont Smith, Anthuan Maybank",USA,United States of America,Gold,2:55.99,M:SS:DD,175.99,269667.391,6803768.743,,,
1996,Athletics,4x400m Relay Men,,MEN,"Mark Richardson, Roger Black, Jamie Baulch, Iwan Thomas",GBR,Great Britain,Silver,2:56.60,M:SS:DD,176.6,58618.663,1054948.361,,,
1996,Athletics,4x400m Relay Men,,MEN,"Davian Clarke, Greg Haughton, Michael McDonald, Roxbert Martin",JAM,Jamaica,Bronze,2:59.42,M:SS:DD,179.42,2501.477,9497,,,
1948,Swimming,100m Backstroke Women,WOMEN,WOMEN,Karen Harup,DEN,Denmark,Gold,1:14.4,M:S:DD,74.4,67295,190695,,,
1936,Swimming,100m Backstroke Women,WOMEN,WOMEN,Nida Senff,NED,Netherlands,Gold,1:18.9,M:S:DD,78.9,507959,303433,,,
1932,Swimming,100m Backstroke Women,WOMEN,WOMEN,Eleanor Holm,USA,United States of America,Gold,1:19.4,M:S:DD,79.4,0,0,,,
1996,Athletics,5000m Men,,MEN,Venuste Niyongabo,BDI,Burundi,Gold,13:07.96,M:SS:DD,787.96,6100.754,3155.946756,,,
1996,Athletics,5000m Men,,MEN,Paul Bitok,KEN,Kenya,Silver,13:08.16,M:SS:DD,788.16,27670.93,29441,,,
1996,Athletics,5000m Men,,MEN,Khalid Boulami,MAR,Morocco,Bronze,13:08.37,M:SS:DD,788.37,27989.535,75323,,,
1928,Swimming,100m Backstroke Women,WOMEN,WOMEN,Maria Braun,NED,Netherlands,Gold,1:22.0,M:S:DD,82,10107,52269.252,,,
1924,Swimming,100m Backstroke Women,WOMEN,WOMEN,Sybil Bauer,USA,United States of America,Gold,1:23.2,M:S:DD,83.2,478728,0,,,
2012,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Ruta MEILUTYTE,LTU,Lithuania,Gold,01:05.5,M:S:DD,65.47,303824.646,8944193.284,,,
1996,Athletics,50km Walk Men,,MEN,Robert Korzeniowski,POL,Poland,Gold,3:43:30,H:MM:SS,13410,38629.842,230083.7136,,,
1996,Athletics,50km Walk Men,,MEN,Mikhail Shchennikov,RUS,Russia,Silver,3:43:46,H:MM:SS,13426,290875.61,1137738.988,,,
1996,Athletics,50km Walk Men,,MEN,Valentin Massana,ESP,Spain,Bronze,3:44:19,H:MM:SS,13459,39803.829,523519.6721,,,
1996,Athletics,800m Men,,MEN,Vebj?rn Rodal,NOR,Norway,Gold,1:42.58,M:SS:DD,102.58,4381.277,99577.38444,,,
1996,Athletics,800m Men,,MEN,Hezekiel Sepeng,RSA,South Africa,Silver,1:42.74,M:SS:DD,102.74,42311.979,160561,,,
1996,Athletics,800m Men,,MEN,Fred Onyancha,KEN,Kenya,Bronze,1:42.79,M:SS:DD,102.79,27670.93,29441,,,
2008,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Leisel Jones,AUS,Australia,Gold,1:05.17,M:S:DD,65.17,2801.544,10191.85,,,
2004,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Xuejuan Luo,CHN,China,Gold,1:06.64,M:S:DD,66.64,60424.213,1315600.996,,,
2000,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Megan Quann,USA,United States of America,Gold,1:07.05,M:S:DD,67.05,38654.164,278674.9317,,,
1996,Athletics,Marathon Men,,MEN,Josia Thugwane,RSA,South Africa,Gold,2:12:36,H:MM:SS,7956,42311.979,160561,,,
1996,Athletics,Marathon Men,,MEN,Bong-Ju Lee,KOR,South Korea,Silver,2:12:39,H:MM:SS,7959,45730.245,571926.2087,,,
1996,Athletics,Marathon Men,,MEN,Erick Wainaina,KEN,Kenya,Bronze,2:12:44,H:MM:SS,7964,27670.93,29441,,,
1996,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Penny Heyns,RSA,South Africa,Gold,1:07.73,M:S:DD,67.73,81890.667,1426553.501,,,
1992,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Yelena Rudkovskaya,URS,Russia,Gold,1:08.00,M:S:DD,68,17481.977,302570.7394,,,
1988,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Tania Dangalakova,BUL,Bulgaria,Gold,1:07.95,M:S:DD,67.95,78030.572,1260983,,,
1996,Canoeing,C1 1000m Canadian Singles Men,,MEN,Martin Doktor,CZR,Czech Republic,Gold,3:54.418,M:S:DD,234.418,10311.817,91016.55927,,,
1996,Canoeing,C1 1000m Canadian Singles Men,,MEN,Ivans Klementjevs,LAT,Latvia,Silver,3:54.954,M:S:DD,234.954,2460.277,14600.05743,,,
1996,Canoeing,C1 1000m Canadian Singles Men,,MEN,Gy?rgy Zala,HUN,Hungary,Bronze,3:56.366,M:S:DD,236.366,10273.591,60214.37491,,,
1996,Canoeing,C1 500m Canadian Singles Men,,MEN,Martin Doktor,CZR,Czech Republic,Gold,1:49.93,M:S:DD,109.93,10311.817,91016.55927,,,
1996,Canoeing,C1 500m Canadian Singles Men,,MEN,Slavomir Knazovicky,SVK,Slovakia,Silver,1:50.51,M:S:DD,110.51,5373.19,39706.71001,,,
1996,Canoeing,C1 500m Canadian Singles Men,,MEN,Imre Pulai,HUN,Hungary,Bronze,1:50.75,M:S:DD,110.75,10273.591,60214.37491,,,
1996,Canoeing,C2 1000m Canadian Pairs Men,,MEN,"Andreas Dittmer, Gunar Kirchbach",GER,Germany,Gold,3:09.190,M:S:DD,189.19,81890.667,1426553.501,,,
1996,Canoeing,C2 1000m Canadian Pairs Men,,MEN,"Antonel Borsan, Marcel Glavan",ROM,Romania,Silver,3:10.518,M:S:DD,190.518,22627.562,74832.58296,,,
1996,Canoeing,C2 1000m Canadian Pairs Men,,MEN,"Csaba Horv?th, Gy?rgy Kolonics",HUN,Hungary,Bronze,3:11.206,M:S:DD,191.206,10273.591,60214.37491,,,
1996,Canoeing,C2 500m Canadian Pairs Men,,MEN,"Csaba Horv?th, Gy?rgy Kolonics",HUN,Hungary,Gold,1:40.42,M:S:DD,100.42,10273.591,60214.37491,,,
1996,Canoeing,C2 500m Canadian Pairs Men,,MEN,"Viktor Reneysky, Nikola? Juravschi",MDA,Moldova,Silver,1:40.45,M:S:DD,100.45,4450.539,10059.47657,,,
1996,Canoeing,C2 500m Canadian Pairs Men,,MEN,"Grigore Obreja, Gheorghe Andriev",ROM,Romania,Bronze,1:41.33,M:S:DD,101.33,22627.562,74832.58296,,,
1996,Canoeing,K1 1000m Kayak Singles Men,,MEN,Knut Holmann,NOR,Norway,Gold,3:25.78,M:S:DD,205.78,4381.277,99577.38444,,,
1996,Canoeing,K1 1000m Kayak Singles Men,,MEN,Beniamino Bonomi,ITA,Italy,Silver,3:27.07,M:S:DD,207.07,57367.032,996781.9207,,,
1996,Canoeing,K1 1000m Kayak Singles Men,,MEN,Clint Robinson,AUS,Australia,Bronze,3:29.71,M:S:DD,209.71,18348.078,354521.1781,,,
1996,Canoeing,K1 500m Kayak Singles Men,,MEN,Antonio Rossi,ITA,Italy,Gold,1:37.42,M:S:DD,97.42,57367.032,996781.9207,,,
1996,Canoeing,K1 500m Kayak Singles Men,,MEN,Knut Holmann,NOR,Norway,Silver,1:38.33,M:S:DD,98.33,4381.277,99577.38444,,,
1996,Canoeing,K1 500m Kayak Singles Men,,MEN,Piotr Markiewicz,POL,Poland,Bronze,1:38.61,M:S:DD,98.61,38629.842,230083.7136,,,
1984,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Petra van Staveren,NED,Netherlands,Gold,1:09.88,M:S:DD,69.88,236348.292,4755958,,,
1980,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Ute Geweniger,GDR,Germany,Gold,1:10.22,M:S:DD,70.22,78297.904,1105099,,,
1976,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Hannelore Anke,GDR,Germany,Gold,1:11.16,M:S:DD,71.16,218035,3701163,,,
1996,Canoeing,K2 1000m Kayak Pairs Men,,MEN,"Daniele Scarpa, Antonio Rossi",ITA,Italy,Gold,3:09.19,M:S:DD,189.19,57367.032,996781.9207,,,
1996,Canoeing,K2 1000m Kayak Pairs Men,,MEN,"Kay Bluhm, Torsten Gutsche",GER,Germany,Silver,3:10.51,M:S:DD,190.51,81890.667,1426553.501,,,
1996,Canoeing,K2 1000m Kayak Pairs Men,,MEN,"Andrian Dushev, Milko Kazanov",BUL,Bulgaria,Bronze,3:11.20,M:S:DD,191.2,8161.026,39513.8145,,,
1996,Canoeing,K2 500m Kayak Pairs Men,,MEN,"Kay Bluhm, Torsten Gutsche",GER,Germany,Gold,1:28.69,M:S:DD,88.69,81890.667,1426553.501,,,
1996,Canoeing,K2 500m Kayak Pairs Men,,MEN,"Beniamino Bonomi, Daniele Scarpa",ITA,Italy,Silver,1:28.72,M:S:DD,88.72,57367.032,996781.9207,,,
1996,Canoeing,K2 500m Kayak Pairs Men,,MEN,"Danny Collins, Andrew Trim",AUS,Australia,Bronze,1:29.40,M:S:DD,89.4,18348.078,354521.1781,,,
1972,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Catherine Carr,USA,United States of America,Gold,1:13.58,M:S:DD,73.58,209896,3346554,,,
1968,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Djurdica Bjedov,YUG,Yugoslavia,Gold,1:15.8,M:S:DD,75.8,200706,2983081,,,
2012,Swimming,100m Butterfly Women,WOMEN,WOMEN,Dana VOLLMER,USA,United States of America,Gold,55.98,#:DD,55.98,303824.646,8944193.284,,,
1996,Canoeing,K4 1000m Kayak Fours Men,,MEN,"Thomas Reineck, Detlef Hofmann, Olaf Winter, Mark Zabel",GER,Germany,Gold,2:51.52,M:S:DD,171.52,81890.667,1426553.501,,,
1996,Canoeing,K4 1000m Kayak Fours Men,,MEN,"Attila Adrovicz, Ferenc Csipes, Andr?s Rajna, G?bor Horv?th",HUN,Hungary,Silver,2:53.18,M:S:DD,173.18,10273.591,60214.37491,,,
1996,Canoeing,K4 1000m Kayak Fours Men,,MEN,"Oleg Gorobiy, Anatoliy Tishchenko, Sergey Verlin, Georgy Tsybulnikov",RUS,Russia,Bronze,2:53.99,M:S:DD,173.99,290875.61,1137738.988,,,
2008,Swimming,100m Butterfly Women,WOMEN,WOMEN,Libby Trickett,AUS,Australia,Gold,56.73,M:S:DD,56.73,82369.548,1624746.189,,,
2004,Swimming,100m Butterfly Women,WOMEN,WOMEN,Petria Thomas,AUS,Australia,Gold,57.52,M:S:DD,57.52,287360.52,1552231.206,,,
2000,Swimming,100m Butterfly Women,WOMEN,WOMEN,Inge de Bruijn,NED,Netherlands,Gold,56.61,M:S:DD,56.61,10137.449,72345.04952,,,
1996,Rowing,Coxless Fours Men,,MEN,"Drew Ginn, Nicholas Green, Mike McKay, James Tomkins",AUS,Australia,Gold,6:06.37,M:S:DD,366.37,18348.078,354521.1781,,,
1996,Rowing,Coxless Fours Men,,MEN,"Bertrand Vecten, Olivier Moncelet, Gilles Bosquet, Daniel Fauche",FRA,France,Silver,6:07.03,M:S:DD,367.03,58388.408,1107663.816,,,
1996,Rowing,Coxless Fours Men,,MEN,"Timothy Foster, Rupert Obholzer, Greg Searle, Jonathon Searle",GBR,Great Britain,Bronze,6:07.28,M:S:DD,367.28,58618.663,1054948.361,,,
1996,Rowing,Coxless Pairs Men,,MEN,"Matthew Pinsent, Steven Redgrave",GBR,Great Britain,Gold,6:20.09,M:S:DD,380.09,58618.663,1054948.361,,,
1996,Rowing,Coxless Pairs Men,,MEN,"Robert Scott, David Weightman",AUS,Australia,Silver,6:21.02,M:S:DD,381.02,18348.078,354521.1781,,,
1996,Rowing,Coxless Pairs Men,,MEN,"Jean-Christophe Rolland, Michel Andrieux",FRA,France,Bronze,6:22.15,M:S:DD,382.15,58388.408,1107663.816,,,
1996,Swimming,100m Butterfly Women,WOMEN,WOMEN,Amy van Dyken,USA,United States of America,Gold,59.13,M:S:DD,59.13,18348.078,354521.1781,,,
1992,Swimming,100m Butterfly Women,WOMEN,WOMEN,Hong Qian,CHN,China,Gold,58.62,M:S:DD,58.62,80597.764,1361341.41,,,
1988,Swimming,100m Butterfly Women,WOMEN,WOMEN,Kristin Otto,GDR,Germany,Gold,59,M:S:DD,59,245021.414,5512845,,,
1996,Rowing,Double Sculls Men,,MEN,"Agostino Abbagnale, Davide Tizzano",ITA,Italy,Gold,6:16.98,M:S:DD,376.98,57367.032,996781.9207,,,
1996,Rowing,Double Sculls Men,,MEN,"Kjetil Undset, Steffen St?rseth",NOR,Norway,Silver,6:18.42,M:S:DD,378.42,4381.277,99577.38444,,,
1996,Rowing,Double Sculls Men,,MEN,"Samuel Barathay, Frederic Kowal",FRA,France,Bronze,6:19.85,M:S:DD,379.85,58388.408,1107663.816,,,
1984,Swimming,100m Butterfly Women,WOMEN,WOMEN,Mary T Meagher,USA,United States of America,Gold,0:59.26,M:S:DD,59.26,236348.292,4755958,,,
1980,Swimming,100m Butterfly Women,WOMEN,WOMEN,Caren Metschuck,GDR,Germany,Gold,1:00.42,M:S:DD,60.42,78297.904,1105099,,,
1976,Swimming,100m Butterfly Women,WOMEN,WOMEN,Kornelia Ender,GDR,Germany,Gold,1:00.13,M:S:DD,60.13,23517.5,350467,,,
1996,Rowing,Eights Men,,MEN,"Diederik Simon, Niels van der Zwan, Nico Rienks, Koos Maasdijk, Jeroen Duyster, Ronald Florijn, Michiel Bartman, Henk-Jan Zwolle, Niels van Steenis",NED,Netherlands,Gold,5:42.74,M:S:DD,342.74,15527.809,294839.7295,,,
1996,Rowing,Eights Men,,MEN,"Marc Weber, Roland Baar, Detlef Kirchhoff, Mark Kleinschmidt, Wolfram Huhn, Frank Richter, Ulrich Viefers, Thorsten Streppelhoff, Peter Thiede",GER,Germany,Silver,5:44.58,M:S:DD,344.58,81890.667,1426553.501,,,
1996,Rowing,Eights Men,,MEN,"Vladimir Volodenkov, Dmitriy Rozinkevich, Roman Monchenko, Pavel Melnikov, Sergey Matveyev, Andrey Glukhov, Aleksandr Lukyanov, Nikolay Aksyonov, Anton Chermashentsev",RUS,Russia,Bronze,5:45.77,M:S:DD,345.77,290875.61,1137738.988,,,
1972,Swimming,100m Butterfly Women,WOMEN,WOMEN,Mayumi Aoki,JPN,Japan,Gold,1:03.34,M:S:DD,63.34,23935.81,98362.30981,,,
1968,Swimming,100m Butterfly Women,WOMEN,WOMEN,Lynette McClements,AUS,Australia,Gold,1:05.5,M:S:DD,65.5,1657.849,0,,,
1964,Swimming,100m Butterfly Women,WOMEN,WOMEN,Sharon Stouder,USA,United States of America,Gold,1:04.7,M:S:DD,64.7,4867.3,57613,,,
1996,Rowing,Lightweight Coxless Fours Men,,MEN,"Niels Henriksen, Victor Feddersen, Eskild Ebbesen, Thomas Poulsen",DEN,Denmark,Gold,6:09.58,M:S:DD,369.58,5262.075,109502.1344,,,
1996,Rowing,Lightweight Coxless Fours Men,,MEN,"Brian Peaker, Dave Boyes, Gavin Hassett, Jeffrey Lay",CAN,Canada,Silver,6:10.13,M:S:DD,370.13,29983.162,580059.7477,,,
1996,Rowing,Lightweight Coxless Fours Men,,MEN,"David Collins, William Carlucci, Jeff Pfaendtner, Marc Schneider",USA,United States of America,Bronze,6:12.29,M:S:DD,372.29,269667.391,6803768.743,,,
1996,Rowing,Lightweight Double Sculls Men,,MEN,"Markus Gier, Michael Gier",SUI,Switzerland,Gold,6:23.47,M:S:DD,383.47,7181.024,148264.1389,,,
1996,Rowing,Lightweight Double Sculls Men,,MEN,"Pepijn Aardewijn, Maarten van der Linden",NED,Netherlands,Silver,6:26.48,M:S:DD,386.48,15527.809,294839.7295,,,
1996,Rowing,Lightweight Double Sculls Men,,MEN,"Anthony Edwards, Bruce Hick",AUS,Australia,Bronze,6:26.69,M:S:DD,386.69,18348.078,354521.1781,,,
1960,Swimming,100m Butterfly Women,WOMEN,WOMEN,Carolyn Schuler,USA,United States of America,Gold,1:09.5,M:S:DD,69.5,667070,441694,,,
1956,Swimming,100m Butterfly Women,WOMEN,WOMEN,Shelley Mann,USA,United States of America,Gold,1:11.0,M:S:DD,71,9500.606,77034,,,
2012,Swimming,100m Freestyle Women,WOMEN,WOMEN,Ranomi KROMOWIDJOJO,NED,Netherlands,Gold,53,#:DD,53.00,303824.646,8944193.284,,,
1996,Rowing,Quadruple Sculls Men,,MEN,"Andreas Hajek, Andr? Steiner, Stephan Volkert, Andr? Willms",GER,Germany,Gold,5:56.93,M:S:DD,356.93,81890.667,1426553.501,,,
1996,Rowing,Quadruple Sculls Men,,MEN,"Tim Young, Eric Mueller, Brian Jamieson, Jason Gailes",USA,United States of America,Silver,5:59.10,M:S:DD,359.1,269667.391,6803768.743,,,
1996,Rowing,Quadruple Sculls Men,,MEN,"Duncan Free, Janusz Hooker, Bo Hanson, Ron Snook",AUS,Australia,Bronze,6:01.65,M:S:DD,361.65,18348.078,354521.1781,,,
2008,Swimming,100m Freestyle Women,WOMEN,WOMEN,Britta Steffen,GER,Germany,Gold,53.12,M:S:DD,53.12,82369.548,1624746.189,,,
2004,Swimming,100m Freestyle Women,WOMEN,WOMEN,Jodie Henry,AUS,Australia,Gold,53.84,M:S:DD,53.84,287360.52,1552231.206,,,
2000,Swimming,100m Freestyle Women,WOMEN,WOMEN,Inge de Bruijn,NED,Netherlands,Gold,53.83,M:S:DD,53.83,10137.449,72345.04952,,,
1996,Rowing,Single Sculls Men,,MEN,Xeno M?ller,SUI,Switzerland,Gold,6:44.85,M:S:DD,404.85,7181.024,148264.1389,,,
1996,Rowing,Single Sculls Men,,MEN,Derek Porter,CAN,Canada,Silver,6:47.45,M:S:DD,407.45,29983.162,580059.7477,,,
1996,Rowing,Single Sculls Men,,MEN,Thomas Lange,GER,Germany,Bronze,6:47.72,M:S:DD,407.72,81890.667,1426553.501,,,
1996,Swimming,100m Freestyle Women,WOMEN,WOMEN,Jingyi Le,CHN,China,Gold,54.5,M:S:DD,54.5,10273.591,60214.37491,,,
1992,Swimming,100m Freestyle Women,WOMEN,WOMEN,Yong Zhuang,CHN,China,Gold,54.64,M:S:DD,54.64,80597.764,1361341.41,,,
1988,Swimming,100m Freestyle Women,WOMEN,WOMEN,Kristin Otto,GDR,Germany,Gold,54.93,M:S:DD,54.93,245021.414,5512845,,,
1996,Swimming,100m Backstroke Men,,MEN,Jeff Rouse,USA,United States of America,Gold,54.1,M:S:DD,54.1,269667.391,6803768.743,,,
1996,Swimming,100m Backstroke Men,,MEN,Rodolfo Falcon,CUB,Cuba,Silver,54.98,M:S:DD,54.98,10943.047,22812,,,
1996,Swimming,100m Backstroke Men,,MEN,Neisser Bent,CUB,Cuba,Bronze,55.02,M:S:DD,55.02,10943.047,22812,,,
1984,Swimming,100m Freestyle Women,WOMEN,WOMEN,Carrie Steinseifer,USA,United States of America,Gold,55.92,M:S:DD,55.92,19051.861,19056.01419,,,
1984,Swimming,100m Freestyle Women,WOMEN,WOMEN,Nancy Hogshead,USA,United States of America,Gold,55.92,M:S:DD,55.92,56462.228,774665,,,
1980,Swimming,100m Freestyle Women,WOMEN,WOMEN,Barbara Krause,GDR,Germany,Gold,54.79,M:S:DD,54.79,78297.904,1105099,,,
1996,Swimming,100m Breaststroke Men,,MEN,Fred Deburghgraeve,BEL,Belgium,Gold,1:00.65,M:S:DD,60.65,10178.934,187684.8476,,,
1996,Swimming,100m Breaststroke Men,,MEN,Jeremy Linn,USA,United States of America,Silver,1:00.77,M:S:DD,60.77,269667.391,6803768.743,,,
1996,Swimming,100m Breaststroke Men,,MEN,Mark Warnecke,GER,Germany,Bronze,1:01.33,M:S:DD,61.33,81890.667,1426553.501,,,
1976,Swimming,100m Freestyle Women,WOMEN,WOMEN,Kornelia Ender,GDR,Germany,Gold,55.65,M:S:DD,55.65,256882.729,1634589,,,
1972,Swimming,100m Freestyle Women,WOMEN,WOMEN,Sandra Neilson,USA,United States of America,Gold,58.59,M:S:DD,58.59,22284.5,291314,,,
1968,Swimming,100m Freestyle Women,WOMEN,WOMEN,Jan Henne,USA,United States of America,Gold,1:00.0,M:S:DD,60,76584.401,755463,,,
1996,Swimming,100m Butterfly Men,,MEN,Denis Pankratov,RUS,Russia,Gold,52.27,M:S:DD,52.27,290875.61,1137738.988,,,
1996,Swimming,100m Butterfly Men,,MEN,Scott Miller,AUS,Australia,Silver,52.53,M:S:DD,52.53,18348.078,354521.1781,,,
1996,Swimming,100m Butterfly Men,,MEN,Vladislav Kulikov,RUS,Russia,Bronze,53.13,M:S:DD,53.13,290875.61,1137738.988,,,
1964,Swimming,100m Freestyle Women,WOMEN,WOMEN,Dawn Fraser,AUS,Australia,Gold,59.5,M:S:DD,59.5,200706,2983081,,,
1960,Swimming,100m Freestyle Women,WOMEN,WOMEN,Dawn Fraser,AUS,Australia,Gold,1:01.2,M:S:DD,61.2,11486,95180,,,
1956,Swimming,100m Freestyle Women,WOMEN,WOMEN,Dawn Fraser,AUS,Australia,Gold,1:02.0,M:S:DD,62,199102.595,710065,,,
